id,titulo,autor
649,Fantomas contra los vampiros multinacional,Julio Cortázar
650,Final del juego,Julio Cortázar
651,Historias de cronopios y de famas,Julio Cortázar
652,Imagen de John Keats,Julio Cortázar
653,Juegos,Julio Cortázar
654,La otra orilla,Julio Cortázar
655,La vuelta al dia en ochenta mundos,Julio Cortázar
656,Las armas secretas,Julio Cortázar
657,Libro de Manuel,Julio Cortázar
658,Los autonautas de la cosmopista,Julio Cortázar
659,Los premios,Julio Cortázar
660,Los reyes,Julio Cortázar
661,Nicaragua tan violentamente dulce,Julio Cortázar
662,Obra critica I,Julio Cortázar
663,Obra critica II,Julio Cortázar
664,Obra critica III,Julio Cortázar
665,Octaedro,Julio Cortázar
666,Papeles inesperados,Julio Cortázar
667,Pasajes,Julio Cortázar
668,Prosa del observatorio,Julio Cortázar
669,Queremos tanto a Glenda,Julio Cortázar
670,Rayuela Edicion conmemorativa de la RAE y la ASALE,Julio Cortázar
671,Reunion y otros relatos,Julio Cortázar
672,Ritos,Julio Cortázar
673,Salvo el crepusculo,Julio Cortázar
674,Silvalandia,Julio Cortázar
675,Todos los fuegos el fuego,Julio Cortázar
676,Un tal Lucas,Julio Cortázar
677,Los 7 habitos de la gente altamente efectiva - Soraya Belghazi,Stephen R. Covey
679,Don Quijote de la Mancha (Miguel de Cervantes Saavedra),Miguel De Cervantes Saavedra
680,Antonio Damasio - Y el cerebro creó al hombre,Antonio Damasio
681,Autobiografia,Charles Darwin
682,Diario del viaje de un naturalista alreded,Charles Darwin
683,El origen de las especies por medio de la,Charles Darwin
684,La seleccion natural,Charles Darwin
685,Las cartas del Beagle,Charles Darwin
686,Viaje de un naturalista alrededor del mund,Charles Darwin
687,El origen de las especies por medio de la seleccion natural,Charles Darwin
688,El origen del hombre,Charles Darwin
689,La expresion de las emociones,Charles Darwin
690,Caminar,Henry David Thoreau
691,Cape Cod,Henry David Thoreau
692,Cartas a un buscador de si mismo,Henry David Thoreau
693,Colores de otono,Henry David Thoreau
694,Desobediencia civil y otros escritos,Henry David Thoreau
695,Escribir (Una antologia),Henry David Thoreau
696,Las manzanas silvestres,Henry David Thoreau
697,Los bosques de Maine,Henry David Thoreau
698,Musketaquid,Henry David Thoreau
699,Pasear,Henry David Thoreau
700,Todo lo bueno es libre y salvaje,Henry David Thoreau
701,Un paseo invernal,Henry David Thoreau
702,Un yanqui en Canada,Henry David Thoreau
703,Volar,Henry David Thoreau
704,Walden,Henry David Thoreau
705,El capellan del diablo,Richard Dawkins
706,El cuento del antepasado,Richard Dawkins
707,Evolucion,Richard Dawkins
708,La ciencia en el alma,Richard Dawkins
709,La magia de la realidad Como sabemos si a,Richard Dawkins
710,Una curiosidad insaciable,Richard Dawkins
711,Una luz fugaz en la oscuridad,Richard Dawkins
712,Ateismo para principiantes,Richard Dawkins
713,El Rio del Eden,Richard Dawkins
714,El espejismo de Dios,Richard Dawkins
715,Evolución El mayor espectáculo sobre la Tierra,Richard Dawkins
716,Richard Dawkins - Destejiendo el arcoiris,Richard Dawkins
717,Richard Dawkins - El gen egoísta,Richard Dawkins
718,Richard Dawkins - El relojero ciego,Richard Dawkins
719,Richard Dawkins - Escalando el monte improbable,Richard Dawkins
720,Bombas de intuicion y otras herramientas,Daniel Dennett
721,Daniel Dennett - La consciencia explicada,Daniel Dennett
722,Dennett Daniel - De Las Bacterias A Bach,Daniel Dennett
723,Dennett Daniel - Tipos De Mentes - Hacia Una Comprension De La Conciencia,Daniel Dennett
725,Almacen de antiguedades,Charles Dickens
726,Barnaby Rudge,Charles Dickens
727,Cancion de Navidad Ilustrado por Lisbeth Zwerger,Charles Dickens
728,Casa desolada,Charles Dickens
729,Cuentos de Navidad (trad. Nuria Salinas Vi,Charles Dickens
730,Cuentos de Navidad,Charles Dickens
731,Cuentos de lo sobrenatural,Charles Dickens
732,David Copperfield,Charles Dickens
733,David Copperfield trad Jaime Pineiro,Charles Dickens
734,Doctor Marigold,Charles Dickens
735,El Misterio de Edwin Drood,Charles Dickens
736,El doctor Marigold,Charles Dickens
737,El grillo del hogar (trad. J. Millas Raure,Charles Dickens
738,El grillo del hogar,Charles Dickens
739,El guardavia,Charles Dickens
740,El guardavias y otros cuentos de fantasmas,Charles Dickens
741,El pequeño Dombey y otras adaptaciones de,Charles Dickens
742,El presidente del jurado,Charles Dickens
743,El velo negro,Charles Dickens
744,Estampas de Italia,Charles Dickens
745,Estampas de caballeretes y de parejitas &,Charles Dickens
746,Grandes esperanzas (trad. Jonio Gonzalez),Charles Dickens
747,Grandes esperanzas (trad. Perez Galdos),Charles Dickens
748,Grandes esperanzas,Charles Dickens
749,Historia de dos ciudades (JLJ),Charles Dickens
750,Historia de dos ciudades (Trad. A. de la P,Charles Dickens
751,Historia de dos ciudades,Charles Dickens
752,La Casa lugubre,Charles Dickens
753,La Navidad cuando dejamos de ser ninos,Charles Dickens
754,La Raspa Magica,Charles Dickens
755,La historia de nadie y otros cuentos,Charles Dickens
756,La muerte del borracho,Charles Dickens
757,La pequeña Dorrit,Charles Dickens
758,La senora Lirriper,Charles Dickens
759,La tienda de antiguedades,Charles Dickens
760,Los papeles de Mudfog,Charles Dickens
761,Los papeles postumos del Club Pickwick (Il,Charles Dickens
762,Los papeles postumos del Club Pickwick (tr,Charles Dickens
763,Los papeles postumos del Club Pickwick,Charles Dickens
764,Los perezosos,Charles Dickens
765,Memorias de Joseph Grimaldi,Charles Dickens
766,Nicholas Nickleby,Charles Dickens
767,Novelas de Navidad,Charles Dickens
768,Nuestro amigo comun (trad. Damian Alou),Charles Dickens
769,Nuestro amigo comun,Charles Dickens
770,Oliver Twist (Ed. Alfaguara),Charles Dickens
771,Oliver Twist (ilustrado),Charles Dickens
772,Oliver Twist,Charles Dickens
773,Oliver Twist ed Alba,Charles Dickens
774,Para leer al anochecer. Historias de fanta,Charles Dickens
775,Sentimental,Charles Dickens
776,Tiempos dificiles,Charles Dickens
777,Una casa en alquiler,Charles Dickens
778,Vida y aventuras de Martin Chuzzlewit,Charles Dickens
779,60 poemas,Emily Dickinson
780,El viento comenzo a mecer la hierba,Emily Dickinson
781,Poemas a la muerte,Emily Dickinson
782,Deja de ser tu,Joe Dispenza
783,El placebo eres tu,Joe Dispenza
784,Sobrenatural,Joe Dispenza
785,Crimen y castigo,Fiodor Dostoyevski
786,El Gran Inquisidor,Fiodor Dostoyevski
787,El adolescente trad F Otero,Fiodor Dostoyevski
788,El idiota - Fiodor Mijailovich Dostoyevski,Fiodor Dostoyevski
789,El jugador,Fiodor Dostoyevski
790,Los hermanos Karamazov,Fiodor Dostoyevski
791,Memorias del subsuelo trad Fernando Otero,Fiodor Dostoyevski
792,Noche Blancas Ilustrado,Fiodor Dostoyevski
793,Corazon debil,Fiodor Dostoyevski
794,Cuentos,Fiodor Dostoyevski
795,Diario de un escritor,Fiodor Dostoyevski
796,Diario de un escritor y otros escritos,Fiodor Dostoyevski
797,"El bufon, el burgues y otros ensayos",Fiodor Dostoyevski
798,El diario de Raskolnikov,Fiodor Dostoyevski
799,El doble (dos versiones 1846 y 1866),Fiodor Dostoyevski
800,El doble,Fiodor Dostoyevski
801,El eterno marido,Fiodor Dostoyevski
802,El senor Projarchin,Fiodor Dostoyevski
803,El sueno del principe,Fiodor Dostoyevski
804,El triton,Fiodor Dostoyevski
805,Humillados y ofendidos (trad. F. Otero),Fiodor Dostoyevski
806,Humillados y ofendidos,Fiodor Dostoyevski
807,La mansa,Fiodor Dostoyevski
808,La patrona,Fiodor Dostoyevski
809,Los demonios (trad. Fernando Otero),Fiodor Dostoyevski
810,Los demonios,Fiodor Dostoyevski
811,Memorias de la casa muerta (trad. G. Gabal,Fiodor Dostoyevski
812,Memorias de la casa muerta,Fiodor Dostoyevski
813,Nietochka Nezvanova,Fiodor Dostoyevski
814,Noches blancas (Ilustrado),Fiodor Dostoyevski
815,Pobre gente,Fiodor Dostoyevski
816,Stepanchikovo y sus moradores,Fiodor Dostoyevski
817,Una grieta en la creacion,Jennifer Doudna
818,El tulipan negro,Alexandre Dumas
819,Alberto Savarus,Honoré de Balzac
820,Alberto Savarus y otras historias,Honoré de Balzac
821,Beatriz,Honoré de Balzac
822,Cuentos completos de La Comedia Humana,Honoré de Balzac
823,Cuentos filosoficos,Honoré de Balzac
824,El Centenario,Honoré de Balzac
825,El arte de pagar sus deudas sin gastar un,Honoré de Balzac
826,El coronel Chabert (trad. Mercedes Lopez-B,Honoré de Balzac
827,El coronel Chabert,Honoré de Balzac
828,El coronel Chabert y otras historias,Honoré de Balzac
829,El cura de Tours,Honoré de Balzac
830,El diputado de Arcis & Z. Marcas,Honoré de Balzac
831,El hijo maldito y otras historias,Honoré de Balzac
832,El lirio en el valle & La piel de chagren,Honoré de Balzac
833,El medico rural & El cura de aldea,Honoré de Balzac
834,El pobre Goriot,Honoré de Balzac
835,El primo Pons,Honoré de Balzac
836,El reverso de la historia contemporanea y,Honoré de Balzac
837,Esplendores y miserias de las cortesanas (,Honoré de Balzac
839,Eugenia Grandet (trad. Mauro Armino),Honoré de Balzac
840,Eugenia Grandet,Honoré de Balzac
841,Eugenie Grandet (trad. de Joan Riambau),Honoré de Balzac
842,Grandeza y decadencia de Cesar Birotteau,Honoré de Balzac
844,Historia de la grandeza y decadencia de Ce,Honoré de Balzac
845,Historia de los trece,Honoré de Balzac
846,Ilusiones Perdidas (2 y 3),Honoré de Balzac
847,Jesucristo en Flandes y otras historias,Honoré de Balzac
848,La busqueda del absoluto,Honoré de Balzac
849,La casa del gato que juega a la pelota y o,Honoré de Balzac
850,La muchacha de los ojos de oro,Honoré de Balzac
851,La mujer de treinta anos & El tio Goriot,Honoré de Balzac
852,La mujer de treinta anos,Honoré de Balzac
853,La obra maestra desconocida,Honoré de Balzac
854,La piel de zapa,Honoré de Balzac
855,La prima Bela,Honoré de Balzac
856,Las Ilusiones Perdidas (trad. Jose Ramon M,Honoré de Balzac
857,Las rivalidades & Ilusiones perdidas (1),Honoré de Balzac
858,Los Chuanes & Una pasion en el desierto,Honoré de Balzac
859,Los campesinos,Honoré de Balzac
860,Los parientes pobres (2) & Los comediantes,Honoré de Balzac
861,Los parientes pobres,Honoré de Balzac
862,Los parisienses en provincias,Honoré de Balzac
863,Los pequenos burgueses (Trad. Antonio Ribe,Honoré de Balzac
864,Los pequenos burgueses,Honoré de Balzac
865,Los secretos de la princesa de Cadignan y,Honoré de Balzac
866,Los solterones,Honoré de Balzac
867,Modesta Mignon & Una entrada en la vida,Honoré de Balzac
868,Papa Goriot,Honoré de Balzac
869,Penas de amor de una gata inglesa,Honoré de Balzac
870,Pequenas miserias de la vida conyugal & Ob,Honoré de Balzac
871,Petrilla,Honoré de Balzac
872,Serafita & Fisiologia del matrimonio,Honoré de Balzac
873,Sobre Catalina de Medicis & otras historia,Honoré de Balzac
874,Tratado de la vida elegante (tr. de L. M.,Honoré de Balzac
875,Tratado de la vida elegante,Honoré de Balzac
876,Un asunto tenebroso,Honoré de Balzac
877,Una hija de Eva,Honoré de Balzac
878,Una hija de Eva y otras historias,Honoré de Balzac
879,Ursula Mirouet & Eugenia Grandet,Honoré de Balzac
880,El segundo sexo,Simone De Beauvoir
881,La ceremonia del adios,Simone De Beauvoir
882,La invitada,Simone De Beauvoir
883,La mujer rota,Simone De Beauvoir
884,La mujer rota [Ed. revisada],Simone De Beauvoir
885,Los mandarines,Simone De Beauvoir
886,Memorias de una joven formal,Simone De Beauvoir
887,Una muerte muy dulce,Simone De Beauvoir
888,Hay que quemar a Sade,Simone De Beauvoir
889,Poesia,Luis De Gongora y Argote
890,Soledades,Luis De Gongora y Argote
891,Antologia poetica,Lope De Vega
892,Arte nuevo de hacer comedias,Lope De Vega
893,El antecristo,Lope De Vega
894,El caballero de Olmedo,Lope De Vega
895,El castigo sin venganza,Lope De Vega
896,El duque de Viseo,Lope De Vega
897,"El mejor alcalde, el Rey",Lope De Vega
898,El otomano famoso (o La famosa comedia ot,Lope De Vega
899,El perro del hortelano,Lope De Vega
900,El remedio en la desdicha,Lope De Vega
901,El sembrar en buena tierra. Quien todo lo,Lope De Vega
902,Fuenteovejuna,Lope De Vega
903,La Dorotea,Lope De Vega
904,La dama boba,Lope De Vega
905,La discreta enamorada,Lope De Vega
906,La gatomaquia,Lope De Vega
907,Mujeres y criados,Lope De Vega
908,Novelas a Marcia Leonarda,Lope De Vega
909,Obras,Lope De Vega
910,Peribañez y el Comendador de Ocaña,Lope De Vega
911,Poesias liricas,Lope De Vega
912,El mono que llevamos dentro,Frans De Waal
913,El ultimo abrazo,Frans De Waal
914,Primates y filosofos,Frans De Waal
915,Tenemos suficiente inteligencia para ente,Frans De Waal
916,A Maria el corazon,Calderón De la Barca
917,Amar despues de la muerte o El Tuzani de l,Calderón De la Barca
918,Andromeda y Perseo,Calderón De la Barca
919,El Faetonte,Calderón De la Barca
920,El alcalde de Zalamea,Calderón De la Barca
921,El galan fantasma,Calderón De la Barca
922,El gran teatro del mundo,Calderón De la Barca
923,El mágico prodigioso,Calderón De la Barca
924,El médico de su honra,Calderón De la Barca
925,Fortunas de Andromeda y Perseo,Calderón De la Barca
926,La dama duende,Calderón De la Barca
927,La vida es sueño (ed. Enrique Rull),Calderón De la Barca
928,La vida es sueno,Calderón De la Barca
929,Amanecer,Octavia E. Butler
930,Hija de Sangre y Otros Relatos,Octavia E. Butler
931,Imago,Octavia E. Butler
932,Parentesco,Octavia E. Butler
933,Ritos de madurez,Octavia E. Butler
934,A paso de cangrejo,Umberto Eco
935,Apocalipticos e integrados,Umberto Eco
936,Apostillas a El nombre dela rosa,Umberto Eco
937,Arte y belleza en la estetica medieval,Umberto Eco
938,Baudolino,Umberto Eco
939,Cinco escritos morales,Umberto Eco
940,Como se hace una tesis,Umberto Eco
941,Como viajar con un salmon,Umberto Eco
942,Confesiones de un joven novelista,Umberto Eco
943,Construir al enemigo y otros escritos,Umberto Eco
944,Contra el fascismo,Umberto Eco
945,De la estupidez a la locura,Umberto Eco
946,De los espejos y otros ensayos,Umberto Eco
947,Decir casi lo mismo,Umberto Eco
948,El cementerio de Praga,Umberto Eco
949,El nombre de la rosa,Umberto Eco
950,El pendulo de Foucault,Umberto Eco
951,El superhombre de masas,Umberto Eco
952,Entre mentira e ironía,Umberto Eco
953,Historia de las tierras y los lugares lege,Umberto Eco
954,Kant y el ornitorrinco,Umberto Eco
955,"La Edad Media, I. Barbaros, cristianos y m",Umberto Eco
956,La búsqueda de la lengua perfecta,Umberto Eco
957,La estrategia de la ilusion,Umberto Eco
958,La estructura ausente,Umberto Eco
959,La isla del dia de antes,Umberto Eco
960,La misteriosa llama de la Reina Loana,Umberto Eco
961,Las poeticas de Joyce,Umberto Eco
962,Lector in fabula. La cooperacion interpret,Umberto Eco
963,Los limites de la interpretacion,Umberto Eco
964,Numero cero,Umberto Eco
965,Obra abierta,Umberto Eco
966,Segundo diario minimo,Umberto Eco
967,Semiotica y filosofia del lenguaje,Umberto Eco
968,Signo,Umberto Eco
969,Tratado de semiotica general,Umberto Eco
970,Tres cuentos,Umberto Eco
971,Annus mirabilis,Albert Einstein
972,La evolucion de la Fisica,Albert Einstein
973,Mi vision del mundo,Albert Einstein
974,Mi credo Humanista,Albert Einstein
975,Mis creencias,Albert Einstein
976,Sobre la teoria de la relatividad especial,Albert Einstein
977,Adam Bede,George Eliot
978,El hermano Jacob,George Eliot
979,El molino del Floss,George Eliot
980,El velo alzado,George Eliot
981,El velo descubierto,George Eliot
982,Escenas de la vida parroquial,George Eliot
983,Las novelas tontas de ciertas damas noveli,George Eliot
984,Middlemarch,George Eliot
985,Silas Marner (trad. Isabel Oyarzabal de Pa,George Eliot
986,Silas Marner (trad. J. L. Lopez Munoz),George Eliot
987,Alguien camina sobre tu tumba,Mariana Enriquez
988,Bajar es lo peor,Mariana Enriquez
989,Chicos que vuelven,Mariana Enriquez
990,Como desaparecer completamente,Mariana Enriquez
991,Este es el mar,Mariana Enriquez
992,La hermana menor,Mariana Enriquez
993,Las cosas que perdimos en el fuego,Mariana Enriquez
994,Los peligros de fumar en la cama,Mariana Enriquez
995,Nuestra parte de noche,Mariana Enriquez
996,El acontecimiento,Annie Ernaux
997,El lugar,Annie Ernaux
998,La mujer helada,Annie Ernaux
999,La verguenza,Annie Ernaux
1000,Memoria de chica,Annie Ernaux
1001,Pura pasion,Annie Ernaux
1002,Como agua para chocolate,Laura Esquivel
1003,La ley del amor,Laura Esquivel
1004,Mi negro pasado,Laura Esquivel
1005,Facundo o civilización y barbarie (Domingo Faustino Sarmiento),Domingo Faustino Sarmiento
1006,"!Absalon, Absalon! (Trad. de Ma. Eugenia D",William Faulkner
1007,"!Absalon, Absalon! (Trad. de Miguel Martin",William Faulkner
1008,"!Absalon, Absalon!",William Faulkner
1009,!Desciende Moises! (Trad. Ana M. Foronda),William Faulkner
1010,Cartas escogidas,William Faulkner
1011,Cuentos reunidos,William Faulkner
1012,"Desciende, Moises",William Faulkner
1013,El oso,William Faulkner
1014,El ruido y la furia,William Faulkner
1015,El villorrio,William Faulkner
1016,Gambito de caballo,William Faulkner
1017,Humo,William Faulkner
1018,Intruso en el polvo,William Faulkner
1019,La ciudad,William Faulkner
1020,La escapada,William Faulkner
1021,La mansion,William Faulkner
1022,La paga de los soldados,William Faulkner
1023,Las palmeras salvajes,William Faulkner
1024,Los invictos,William Faulkner
1025,Los rateros,William Faulkner
1026,Luz de agosto,William Faulkner
1027,Mientras agonizo,William Faulkner
1028,Mosquitos (Trad. de Daniel Gascon),William Faulkner
1029,Mosquitos,William Faulkner
1030,Pylon,William Faulkner
1031,Relatos,William Faulkner
1032,Santuario,William Faulkner
1033,Sartoris,William Faulkner
1034,Una fabula,William Faulkner
1035,El ultimo mohicano,James Fenimore Cooper
1037,Cronicas del desamor,Elena Ferrante
1038,El amor molesto,Elena Ferrante
1039,La amiga estupenda,Elena Ferrante
1040,La frantumaglia,Elena Ferrante
1041,La hija oscura,Elena Ferrante
1042,La invencion ocasional,Elena Ferrante
1043,La muneca olvidada,Elena Ferrante
1044,La nina perdida,Elena Ferrante
1045,La vida mentirosa de los adultos,Elena Ferrante
1046,Las deudas del cuerpo,Elena Ferrante
1047,Los dias del abandono,Elena Ferrante
1048,Un mal nombre,Elena Ferrante
1049,Fisher Helen - Por qué amamos,Helen Fisher E.
1050,Helen Fisher - Anatomia del amor,Helen Fisher E.
1051,Bibliomania,Gustave Flaubert
1052,Bouvard y Pecuchet,Gustave Flaubert
1053,Cartas a Louise Colet,Gustave Flaubert
1054,Correspondencia,Gustave Flaubert
1055,Diccionario de los lugares comunes,Gustave Flaubert
1056,La educacion sentimental (trad. Hermenegil,Gustave Flaubert
1057,La educacion sentimental,Gustave Flaubert
1058,La leyenda de San Julian el hospitalario,Gustave Flaubert
1059,La senora Bovary,Gustave Flaubert
1060,La tentacion de San Antonio,Gustave Flaubert
1061,Madame Bovary (trad. Juan Bravo Castillo),Gustave Flaubert
1062,Madame Bovary (trad. Mauro Armino),Gustave Flaubert
1063,Madame Bovary,Gustave Flaubert
1064,Memorias de un loco y otros textos de juve,Gustave Flaubert
1065,Noviembre,Gustave Flaubert
1066,Salambo (trad. Hermenegildo Giner de los R,Gustave Flaubert
1067,Salambo,Gustave Flaubert
1068,Tres cuentos,Gustave Flaubert
1069,Un alma de Dios,Gustave Flaubert
1070,Alto riesgo,Ken Follett
1071,Doble juego,Ken Follett
1072,El escandalo Modigliani,Ken Follett
1073,El hombre de San Petersburgo,Ken Follett
1074,El invierno del mundo,Ken Follett
1075,El misterio de los estudios Kellerman,Ken Follett
1076,El misterio del planeta de los gusanos,Ken Follett
1077,El tercer gemelo,Ken Follett
1078,El umbral de la eternidad,Ken Follett
1079,El valle de los leones,Ken Follett
1080,En el blanco,Ken Follett
1081,En la boca del dragon,Ken Follett
1082,La caida de los gigantes,Ken Follett
1083,La clave esta en Rebeca,Ken Follett
1084,La isla de las tormentas,Ken Follett
1085,Las alas del aguila,Ken Follett
1086,Las tinieblas y el alba,Ken Follett
1087,Los pilares de la Tierra,Ken Follett
1088,Noche sobre las aguas,Ken Follett
1089,Notre-Dame,Ken Follett
1090,Papel moneda,Ken Follett
1091,Triple,Ken Follett
1092,Un lugar llamado libertad,Ken Follett
1093,Un mundo sin fin,Ken Follett
1094,Una columna de fuego,Ken Follett
1095,Una fortuna peligrosa,Ken Follett
1096,Vuelo final,Ken Follett
1097,Trilogia,Jon Fosse
1098,El nacimiento de la clinica,Michel Foucault
1099,El orden del discurso,Michel Foucault
1100,El origen de la hermeneutica de si,Michel Foucault
1101,El pensamiento del afuera,Michel Foucault
1102,"El poder, una bestia magnifica",Michel Foucault
1103,El uso de los placeres,Michel Foucault
1104,Enfermedad mental y psicologia,Michel Foucault
1105,Hermeneutica del sujeto,Michel Foucault
1106,Historia de la locura en la epoca clasica,Michel Foucault
1107,Historia politica de la verdad,Michel Foucault
1108,La arqueologia del saber,Michel Foucault
1109,La etica del pensamiento,Michel Foucault
1110,La gran extranjera,Michel Foucault
1111,La inquietud de si,Michel Foucault
1112,La verdad y las formas juridicas,Michel Foucault
1113,La voluntad de saber,Michel Foucault
1114,Las palabras y las cosas,Michel Foucault
1115,"Nietzsche, Freud, Marx",Michel Foucault
1116,"Obrar mal, decir la verdad la funcion de",Michel Foucault
1117,Raymond Roussel,Michel Foucault
1118,Un dialogo sobre el poder y otras conversa,Michel Foucault
1119,Vigilar y castigar,Michel Foucault
1120,"Yo, Pierre Riviere, habiendo degollado a m",Michel Foucault
1121,El hombre en busca de sentido,Viktor Frankl
1122,El malestar en la cultura,Sigmund Freud
1123,El porvenir de una ilusion,Sigmund Freud
1124,Esquema del psicoanalisis y otros escritos,Sigmund Freud
1125,La interpretacion de los suenos,Sigmund Freud
1126,Lo inconsciente,Sigmund Freud
1127,Lo siniestro,Sigmund Freud
1128,Los origenes del psicoanalisis,Sigmund Freud
1129,Obras completas,Sigmund Freud
1130,Psicoanalisis aplicado y Tecnica psicoanal,Sigmund Freud
1131,Psicologia de las masas y analisis del yo,Sigmund Freud
1132,Tomo 6 (1914-1917),Sigmund Freud
1133,Totem y tabu,Sigmund Freud
1134,Volumen XIX (1923-1925),Sigmund Freud
1135,Aura,Carlos Fuentes
1136,La muerte de Artemio Cruz,Carlos Fuentes
1137,American Gods,Neil Gaiman
1138,Coraline,Neil Gaiman
1139,Cien anos de soledad,Gabriel Garcia Marquez
1140,El amor en los tiempos del colera,Gabriel Garcia Marquez
1141,El coronel no tiene quien le escriba,Gabriel Garcia Marquez
1142,Buenos presagios (Edicion ilustrada),Neil Gaiman
1143,Criaturas fantasticas,Neil Gaiman
1144,El cementerio sin lapidas y otras historia,Neil Gaiman
1145,El libro del cementerio,Neil Gaiman
1146,El libro del cementerio [Ilustrado],Neil Gaiman
1147,El oceano al final del camino,Neil Gaiman
1148,El sueno de plata,Neil Gaiman
1149,Humo y espejos,Neil Gaiman
1150,Interworld,Neil Gaiman
1151,La joven durmiente y el huso,Neil Gaiman
1152,La vista desde las ultimas filas,Neil Gaiman
1153,Los hijos de Anansi,Neil Gaiman
1154,Material sensible,Neil Gaiman
1155,Mitos nordicos,Neil Gaiman
1156,Nada en punto,Neil Gaiman
1157,Neverwhere (Ed 20deg aniversario),Neil Gaiman
1158,Neverwhere,Neil Gaiman
1159,Objetos fragiles,Neil Gaiman
1160,Stardust,Neil Gaiman
1161,Las venas abiertas de America Latina,Eduardo Galeano
1162,Relatos de la cacerola,Yolanda Garcia
1163,Amor de don Perlimplin con Belisa en su ja,Federico García Lorca
1164,Bodas de sangre,Federico García Lorca
1165,Dona Rosita la soltera o el lenguaje de la,Federico García Lorca
1166,El publico,Federico García Lorca
1167,La casa de Bernarda Alba,Federico García Lorca
1168,La zapatera prodigiosa,Federico García Lorca
1169,Los titeres de cachiporra,Federico García Lorca
1170,Mariana Pineda,Federico García Lorca
1171,Obras completas I,Federico García Lorca
1172,Obras completas II,Federico García Lorca
1173,Poema del cante jondo,Federico García Lorca
1174,Poesia completa,Federico García Lorca
1175,Poeta en Nueva York,Federico García Lorca
1176,Romancero gitano,Federico García Lorca
1177,Teatro completo,Federico García Lorca
1178,Yerma,Federico García Lorca
1179,Cronica de una muerte anunciada,Gabriel Garcia Marquez
1180,Cuando era feliz e indocumentado,Gabriel Garcia Marquez
1181,De Europa y America (1955-1960),Gabriel Garcia Marquez
1182,De viaje por los paises socialistas,Gabriel Garcia Marquez
1183,Del amor y otros demonios,Gabriel Garcia Marquez
1184,Diatriba de amor contra un hombre sentado,Gabriel Garcia Marquez
1185,Doce cuentos peregrinos,Gabriel Garcia Marquez
1186,El general en su laberinto,Gabriel Garcia Marquez
1187,El mismo cuento distinto El hombre en la,Gabriel Garcia Marquez
1188,El olor de la guayaba,Gabriel Garcia Marquez
1189,El otono del patriarca,Gabriel Garcia Marquez
1190,Entre cachacos (1954-1955),Gabriel Garcia Marquez
1191,La aventura de Miguel Littin clandestino e,Gabriel Garcia Marquez
1192,La hojarasca,Gabriel Garcia Marquez
1193,La increible y triste historia de la candi,Gabriel Garcia Marquez
1194,La mala hora,Gabriel Garcia Marquez
1195,Los funerales de la Mama Grande,Gabriel Garcia Marquez
1196,Memoria de mis putas tristes,Gabriel Garcia Marquez
1197,Notas de prensa (1961-1984),Gabriel Garcia Marquez
1198,Noticia de un secuestro,Gabriel Garcia Marquez
1199,Ojos de perro azul,Gabriel Garcia Marquez
1200,Por la libre (1974-1995),Gabriel Garcia Marquez
1201,Relato de un naufrago,Gabriel Garcia Marquez
1202,Textos costenos (1948-1952),Gabriel Garcia Marquez
1203,Todos los cuentos,Gabriel Garcia Marquez
1204,Vivir para contarla,Gabriel Garcia Marquez
1205,Yo no vengo a decir un discurso,Gabriel Garcia Marquez
1206,Fuera de serie,Malcolm Gladwell
1207,Inteligencia intuitiva,Malcolm Gladwell
1208,Fausto,Wolfgang Johann Goethe
1209,La inteligencia emocional,Daniel Goleman
1210,El inversor inteligente,Benjamin Graham
1211,Atlas de geografia humana,Almudena Grandes
1212,Castillos de carton,Almudena Grandes
1213,El corazon helado,Almudena Grandes
1214,El lector de Julio Verne,Almudena Grandes
1215,Estaciones de paso,Almudena Grandes
1216,Ines y la alegria,Almudena Grandes
1217,La herida perpetua,Almudena Grandes
1218,La madre de Frankenstein,Almudena Grandes
1219,Las edades de Lulu,Almudena Grandes
1220,Las tres bodas de Manolita,Almudena Grandes
1221,Los aires dificiles,Almudena Grandes
1222,Los besos en el pan,Almudena Grandes
1223,Los pacientes del doctor Garcia,Almudena Grandes
1224,Malena es un nombre de tango,Almudena Grandes
1225,Modelos de mujer,Almudena Grandes
1226,Te llamare Viernes,Almudena Grandes
1227,Bajo la misma estrella,John Green
1228,Ciudades de papel,John Green
1229,Mil veces hasta siempre,John Green
1230,El Arte de la Seduccion,Robert Greene
1231,La Ley 50,Robert Greene
1232,Las 33 estrategias de la guerra,Robert Greene
1233,Las 48 leyes del poder,Robert Greene
1234,Maestría,Robert Greene
1235,Los tres pelos de oro del diablo,Hermanos Grimm
1236,El Madrid de Antonia Scott,Juan Gómez-Jurado
1237,Loba Negra,Juan Gómez-Jurado
1238,Reina Roja,Juan Gómez-Jurado
1239,Rey Blanco,Juan Gómez-Jurado
1240,Historia del tiempo,Stephen Hawking
1241,La mente de los justos,Jonathan Haidt
1242,La transformacion de la mente moderna,Jonathan Haidt
1243,El aroma del tiempo,Byung-Chul Han
1244,En el enjambre,Byung-Chul Han
1245,Filosofia del budismo Zen,Byung-Chul Han
1246,La agonia del eros,Byung-Chul Han
1247,La expulsion de lo distinto,Byung-Chul Han
1248,La salvacion de lo bello,Byung-Chul Han
1249,La sociedad de la transparencia,Byung-Chul Han
2777,La sociedad del cansancio,Byung-Chul Han
1251,Psicopolitica,Byung-Chul Han
