Número Consecutivo,Título,Autor,Sinopsis,Género,Año,URL Preview
737,El grillo del hogar (trad. J. Millas Raure - Charles Dickens,"Dickens, Charles",Fábula doméstica sobre la felicidad familiar y los malentendidos resueltos por un grillo providencial.,Cuento,1845,https://drive.google.com/file/d/1jMiQrw1DE__mMZOXuzka3xBn1Bxx0Rju/preview
738,El grillo del hogar - Charles Dickens,"Dickens, Charles",Relato navideño que exalta la paz del hogar y la importancia de la confianza mutua.,Cuento,1845,https://drive.google.com/file/d/1Pl4uTPXvi1bMkZOOaWXqx4saS3kX9UNu/preview
739,El guardavia - Charles Dickens,"Dickens, Charles",Cuento de fantasmas sobre un trabajador ferroviario acechado por visiones premonitorias de tragedias en la vía.,Cuento/Terror,1866,https://drive.google.com/file/d/1fL0up5IagCOTkroqCm8eBea2AiPXiVi4/preview
740,El guardavias y otros cuentos de fantasmas - Charles Dickens,"Dickens, Charles",Colección de relatos góticos que utilizan la atmósfera industrial para crear suspense y terror psicológico.,Cuento/Terror,1866,https://drive.google.com/file/d/1ys0mczILOSVthnaNd4YQ8ecmCw_CW2nL/preview
741,El pequeño Dombey y otras adaptaciones de - Charles Dickens,"Dickens, Charles",Versiones breves de sus novelas centradas en las experiencias infantiles en un mundo adulto hostil.,Cuento,1846,https://drive.google.com/file/d/1i37M3r3JX6WKlbR4juVwOnnZeBNPbaTs/preview
742,El presidente del jurado - Charles Dickens,"Dickens, Charles",Relato de un proceso judicial donde lo sobrenatural interviene para revelar la verdad tras un crimen.,Cuento,1862,https://drive.google.com/file/d/1UwS9umMJH5pv0MHzR1Sq4gc68bDP5L-W/preview
743,El velo negro - Charles Dickens,"Dickens, Charles",Inquietante historia sobre un médico que atiende a una mujer misteriosa tras la ejecución de su hijo.,Cuento,1836,https://drive.google.com/file/d/1SghmVulgFbI_0EStne4GNg3Omp2hxmym/preview
744,Estampas de Italia - Charles Dickens,"Dickens, Charles","Observaciones agudas y pintorescas de sus viajes por las ciudades italianas, alejadas de la guía turística tradicional.",Crónica de viaje,1846,https://drive.google.com/file/d/1KIcQOrRd1e5EeZPlX6VP9PpzMiWB2Wh_/preview
745,Estampas de caballeretes y de parejitas & - Charles Dickens,"Dickens, Charles",Serie de bocetos satíricos que diseccionan los tipos sociales y las costumbres de la clase media.,Cuento/Sátira,1838,https://drive.google.com/file/d/1XxKAAZzIWQYobHEiqCazhhYjmciGPvVn/preview
746,Grandes esperanzas (trad. Jonio Gonzalez) - Charles Dickens,"Dickens, Charles","El ascenso social de Pip, un huérfano que recibe una herencia anónima, y su desengaño sobre la nobleza.",Novela,1860,https://drive.google.com/file/d/1AIM0wH__6YVS4IylKW2WPI8rVmZszSmM/preview
747,Grandes esperanzas (trad. Perez Galdos) - Charles Dickens,"Dickens, Charles","Obra maestra que explora la ambición, la culpa y la verdadera naturaleza de la generosidad.",Novela,1860,https://drive.google.com/file/d/1DMoBWolXlc3L_JiveSXVzJZAZO6FCu_e/preview
748,Grandes esperanzas - Charles Dickens,"Dickens, Charles",Saga de crecimiento personal marcada por el misterio de la identidad de un benefactor secreto.,Novela,1860,https://drive.google.com/file/d/15mR_Kxgf7PGQviF-DWgIMEzzqruiegF_/preview
749,Historia de dos ciudades (JLJ) - Charles Dickens,"Dickens, Charles","Drama épico ambientado en Londres y París durante la Revolución Francesa, centrado en el sacrificio y la resurrección.",Novela histórica,1859,https://drive.google.com/file/d/1MnBWbAdKc0mQzyiipkkDn4zDcSnP9rwL/preview
750,Historia de dos ciudades (Trad. A. de la P - Charles Dickens,"Dickens, Charles",Relato de injusticia y redención en medio del caos social de la Francia revolucionaria.,Novela histórica,1859,https://drive.google.com/file/d/1FZqyPlmaPy7zNfCTj-UXGAnHfK0VQMTx/preview
751,Historia de dos ciudades - Charles Dickens,"Dickens, Charles",Clásico que contrasta la estabilidad inglesa con el terror revolucionario francés a través de destinos entrelazados.,Novela histórica,1859,https://drive.google.com/file/d/1pkroSfxWQEIg41ib83HBv7rIRhhjv_6c/preview
752,La Casa lugubre - Charles Dickens,"Dickens, Charles",Laberíntica trama sobre las víctimas de un sistema legal obsoleto y los secretos de una familia aristocrática.,Novela,1852,https://drive.google.com/file/d/1ZMkzjkT5FdXrO1tLeB5DOxDgFaHr-KTe/preview
753,La Navidad cuando dejamos de ser ninos - Charles Dickens,"Dickens, Charles",Ensayo nostálgico sobre la pérdida de la inocencia y el valor de los recuerdos navideños en la madurez.,Cuento,1851,https://drive.google.com/file/d/1Lm6kYdfPn9mlqUCUH1YbB-TNc_qHxt6X/preview
754,La Raspa Magica - Charles Dickens,"Dickens, Charles",Cuento de hadas sobre una princesa y una espina de pescado que concede deseos según la virtud.,Cuento infantil,1868,https://drive.google.com/file/d/1mrGsl9py4jpEm7Gxe0ouX3AbSHwsIdMg/preview
755,La historia de nadie y otros cuentos - Charles Dickens,"Dickens, Charles",Relatos que dan voz a los ciudadanos anónimos y desfavorecidos de la Revolución Industrial.,Cuento,1853,https://drive.google.com/file/d/1N1AW6uwFWjH_gQCtACMwbbvrPXJ-TYmV/preview
756,La muerte del borracho - Charles Dickens,"Dickens, Charles",Relato naturalista y sombrío sobre las consecuencias devastadoras del alcoholismo en la clase obrera.,Cuento,1836,https://drive.google.com/file/d/10hR66R7qyqZYOq5mDzjV-XtRouvGvS_3/preview
757,La pequeña Dorrit - Charles Dickens,"Dickens, Charles","Sátira sobre la prisión por deudas y la burocracia estatal, centrada en la bondad de Amy Dorrit.",Novela,1855,https://drive.google.com/file/d/1n21WK8V_cayMLn6RZ7fHXFNo703Lnixj/preview
758,La senora Lirriper - Charles Dickens,"Dickens, Charles",Historias entrañables narradas por una dueña de una casa de huéspedes en el Londres victoriano.,Cuento,1863,https://drive.google.com/file/d/1N2evWbgOPmyRMSywnCr2H_0z30kiJArR/preview
759,La tienda de antiguedades - Charles Dickens,"Dickens, Charles",Viaje trágico de una niña y su abuelo acechados por el malvado prestamista Quilp.,Novela,1840,https://drive.google.com/file/d/1pqOkCNQNrBTAvSQOiLFu0IxkKoZJKWcG/preview
760,Los papeles de Mudfog - Charles Dickens,"Dickens, Charles",Sátira de las sociedades científicas y la pomposidad académica mediante crónicas de reuniones absurdas.,Sátira,1837,https://drive.google.com/file/d/10_Ttl0MRVkU2UtXHqYA2MgR9AdBwLDQ-/preview
761,Los papeles postumos del Club Pickwick (Il - Charles Dickens,"Dickens, Charles",Aventuras cómicas de un grupo de caballeros que recorren Inglaterra observando las costumbres humanas.,Novela,1836,https://drive.google.com/file/d/1wviZAorD_Hr6dRzJ-Ya2m9hGSSwILE9P/preview
762,Los papeles postumos del Club Pickwick (tr - Charles Dickens,"Dickens, Charles","Obra fundacional del éxito de Dickens, llena de humor, sátira social y personajes memorables.",Novela,1836,https://drive.google.com/file/d/1Z0imhDxjdl_LYPFUcgjQpJC-9Ud1bE9V/preview
763,Los papeles postumos del Club Pickwick - Charles Dickens,"Dickens, Charles",Retrato vívido y humorístico de la vida inglesa antes de la llegada del ferrocarril.,Novela,1836,https://drive.google.com/file/d/1O2IANsEyTISUmWUuZKKGLigiJ9VCwEHZ/preview
764,Los perezosos - Charles Dickens,"Dickens, Charles",Relato satírico sobre la indolencia y las convenciones sociales en la Inglaterra rural.,Cuento,1857,https://drive.google.com/file/d/1563Sx5xKIn3XgTdJzE6Ro1s8B9hU_yNP/preview
765,Memorias de Joseph Grimaldi - Charles Dickens,"Dickens, Charles","Biografía editada por Dickens sobre el payaso más famoso de Inglaterra, revelando su vida trágica.",Biografía,1838,https://drive.google.com/file/d/1CrwW_M_Yd6neTHV59JLPsxjlWWV1vn0p/preview
766,Nicholas Nickleby - Charles Dickens,"Dickens, Charles",Un joven lucha por proteger a su familia de un tío cruel y expone el maltrato en los internados.,Novela,1838,https://drive.google.com/file/d/1fthNs5-hqeZ_ghHM8lHHVOWeGv8rQ0S2/preview
767,Novelas de Navidad - Charles Dickens,"Dickens, Charles",Colección de cinco relatos que definieron la celebración moderna de la Navidad en el mundo anglosajón.,Cuento,1843,https://drive.google.com/file/d/1t-uNVFlbugKCJ64VMpxHiF96AiXe2E5d/preview
768,Nuestro amigo comun (trad. Damian Alou) - Charles Dickens,"Dickens, Charles",Última novela completa del autor que analiza la corrupción del dinero y la redención personal.,Novela,1864,https://drive.google.com/file/d/1CSdYPifbfV3zJvBrfTwCEEXbJ3DwfvCm/preview
769,Nuestro amigo comun - Charles Dickens,"Dickens, Charles",Sátira social sobre la codicia y la estratificación de clases a orillas del Támesis.,Novela,1864,https://drive.google.com/file/d/1-tEZoS51PDPagFN4u9Vzq-LdrgqGpp7O/preview
770,Oliver Twist (Ed. Alfaguara) - Charles Dickens,"Dickens, Charles",Un huérfano escapa de un hospicio y cae en una banda de ladrones en el submundo londinense.,Novela,1837,https://drive.google.com/file/d/1RNNTbP-uZybsZOuAcOrVkCn9-ngzt1Y9/preview
771,Oliver Twist (ilustrado) - Charles Dickens,"Dickens, Charles",Historia clásica sobre la lucha por la decencia en un entorno de crimen y pobreza extrema.,Novela,1837,https://drive.google.com/file/d/11bFPDhpp-RBLRVo9YZffzceAl6XDQVcj/preview
772,Oliver Twist - Charles Dickens,"Dickens, Charles",Denuncia social de las leyes de pobres y el trato a la infancia desfavorecida en Inglaterra.,Novela,1837,https://drive.google.com/file/d/1HHKuTB7aZTGYcUOZxYRw2tRGGcO1PgKK/preview
773,Oliver Twist ed Alba - Charles Dickens,"Dickens, Charles",Viaje emocional de un niño que busca su identidad y un hogar frente a la adversidad.,Novela,1837,https://drive.google.com/file/d/1a-K4Yp0DTaTKSBJphJdiysTCRYxQy8Vc/preview
774,Para leer al anochecer. Historias de fanta - Charles Dickens,"Dickens, Charles",Selección de cuentos de terror y misterio ideales para ser leídos en voz alta junto al fuego.,Cuento/Terror,1850,https://drive.google.com/file/d/1waaGx9N5rpitXJC68j4F3cJUh_OfrbhX/preview
775,Sentimental - Charles Dickens,"Dickens, Charles",Bocetos tempranos que capturan la vida urbana con una mezcla de humor y observación detallada.,Cuento,1836,https://drive.google.com/file/d/1_GAwIDLYclQVhtdBzId5rLrQKpDV1JcR/preview
776,Tiempos_dificiles-Charles_Dickens,Charles_Dickens,Crítica al utilitarismo y la deshumanización industrial en una ciudad dominada por los hechos y las cifras.,Novela,1854,https://drive.google.com/file/d/14hpxzsHXlvOKrjdkPbPVugDATG76j-0r/preview
777,Una casa en alquiler - Charles Dickens,"Dickens, Charles",Relato de misterio sobre una mansión abandonada y los secretos que oculta a sus vecinos.,Cuento,1858,https://drive.google.com/file/d/1fbC03iB3ZuwqtRBlMoPaA9gUWCT4LbE7/preview
778,Vida y aventuras de Martin Chuzzlewit - Charles Dickens,"Dickens, Charles",Estudio sobre el egoísmo humano a través de las peripecias de un joven en Inglaterra y América.,Novela,1843,https://drive.google.com/file/d/11kiQ_obq43UhFxBb-Kbx3PJ4kgzxwb8p/preview
779,60 poemas - Emily Dickinson,"Dickinson, Emily","Selección de versos breves y potentes que exploran el alma, la naturaleza y la eternidad con estilo único.",Poesía,1890,https://drive.google.com/file/d/1kIacb4WtCT0EqvbXYwhasMsDPpSjBHKN/preview
780,El viento comenzo a mecer la hierba - Emily Dickinson,"Dickinson, Emily",Poesía lírica que captura la fuerza de la naturaleza y los estados internos con una sensibilidad extrema.,Poesía,1890,https://drive.google.com/file/d/1fj-jsdDwUgA4uACw-bZjT_VKJm31eUwa/preview
781,Poemas a la muerte - Emily Dickinson,"Dickinson, Emily","Reflexiones profundas y metafísicas sobre el final de la vida, la inmortalidad y lo desconocido.",Poesía,1890,https://drive.google.com/file/d/1U19RuLElT6FkG3Wk55c9Byd_oujLYoJi/preview
782,Deja de ser tu - Joe Dispenza,"Dispenza, Joe",Guía que utiliza la neurociencia para explicar cómo reprogramar la mente y cambiar patrones emocionales negativos.,Autoayuda,2012,https://drive.google.com/file/d/1T5WlsABPXFmAeGwsYp5Ez0_lTFiTFRl7/preview
783,El placebo eres tu - Joe Dispenza,"Dispenza, Joe",Investigación sobre la capacidad del pensamiento y la creencia para influir positivamente en la salud biológica.,Autoayuda,2014,https://drive.google.com/file/d/1Ofj9TMZcbWnjtsGPaLhj3j9pHEI_FuBz/preview
784,Sobrenatural - Joe Dispenza,"Dispenza, Joe",Métodos para alcanzar estados de conciencia superiores y desbloquear el potencial latente del cerebro humano.,Autoayuda,2017,https://drive.google.com/file/d/1tnrgrEQWbLVClSzPwK0XkezEQNlP2VT9/preview
785,Crimen y castigo - Fiodor Dostoyevski,"Dostoyevski, Fiodor","Raskólnikov comete un asesinato para probar su teoría del hombre superior, enfrentando una devastadora culpa moral.",Novela,1866,https://drive.google.com/file/d/1MNu4su1KMRe2Uyv9pJA2R4iKx4KncPC7/preview
786,El Gran Inquisidor - Fiodor Dostoyevski,"Dostoyevski, Fiodor","Capítulo filosófico donde se debate sobre la libertad humana, la religión y el peso de la conciencia.",Relato/Ensayo,1880,https://drive.google.com/file/d/1oBaOFELMTebP1iW8CKWZmI4SQNxwBNb8/preview
787,El adolescente trad F Otero - Fiodor Dostoyevski,"Dostoyevski, Fiodor",Un joven busca su lugar en el mundo mientras lidia con la compleja figura de su padre biológico.,Novela,1875,https://drive.google.com/file/d/1bFm2m23csCl5MjhB8FAnT4PBcaqwYvxt/preview
788,El idiota - Fiodor Mijailovich Dostoyevski,"Dostoyevski, Fiodor",El bondadoso príncipe Mishkin intenta vivir con integridad en una sociedad rusa corrupta y apasionada.,Novela,1868,https://drive.google.com/file/d/1JjdkcT-qIuOIaeNmA7vX1h2vpxz2d6mv/preview
789,El jugador - Fiodor Dostoyevski,"Dostoyevski, Fiodor","Novela sobre la adicción al juego y los amores destructivos, reflejando las propias vivencias del autor.",Novela,1866,https://drive.google.com/file/d/1edSbs44bVLRB6V-G1M2sB1TKVwRsN1Nz/preview
790,Los hermanos Karamazov - Fiodor Dostoyevski,"Dostoyevski, Fiodor","Complejo drama familiar que explora la fe, el parricidio y la lucha entre el bien y el mal.",Novela,1880,https://drive.google.com/file/d/1bn-o7OOlXu0DjWDw55pxq3OwUrNKwNBa/preview
791,Memorias del subsuelo trad Fernando Otero - Fiodor Dostoyevski,"Dostoyevski, Fiodor",Monólogo amargo de un hombre marginado que desafía la lógica y el optimismo de la modernidad.,Novela,1864,https://drive.google.com/file/d/1v_vdEmYc1N8_9zNzCxMFZWzbFBNCqY2h/preview
792,Noche Blancas Ilustrado - Fiodor Dostoyevski,"Dostoyevski, Fiodor",Relato sentimental sobre un soñador que encuentra brevemente el amor en las calles de San Petersburgo.,Novela corta,1848,https://drive.google.com/file/d/16d1EJziX9L1X9qjhJrfSg_vCY5etTBxt/preview
793,Corazon debil - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Historia de un joven funcionario cuya felicidad excesiva lo lleva a una crisis mental y física.,Cuento,1848,https://drive.google.com/file/d/1z7FYpQxSnS98E8tC_427rFnX6T0nMzNi/preview
794,Cuentos - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Recopilación de relatos breves que diseccionan la miseria humana y los dilemas espirituales en la Rusia zarista.,Cuento,1846,https://drive.google.com/file/d/1bRf3Lqv3kWWDlk6pSr_sbIBL0Wrd9nOp/preview
795,Diario de un escritor - Fiodor Dostoyevski,"Dostoyevski, Fiódor","Serie de crónicas, cuentos y opiniones donde el autor analiza la sociedad y política de su tiempo.",Ensayo/Relatos,1873,https://drive.google.com/file/d/1f85jiP6y2P1nKD4iV4WNYW6o-VT34DYx/preview
796,Diario de un escritor y otros escritos - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Compendio de reflexiones periodísticas que revelan las obsesiones ideológicas y literarias de Dostoyevski.,Ensayo,1873,https://drive.google.com/file/d/19Z4f-GvsVkAK0YM4hcOYEU_FfewM1NG1/preview
797,"El bufon, el burgues y otros ensayos - Fiodor Dostoyevski","Dostoyevski, Fiódor",Colección de textos críticos sobre la identidad rusa frente a la influencia cultural de Europa Occidental.,Ensayo,1860,https://drive.google.com/file/d/1m__w1kLqvSS733B7cwcu77YfWBM9ZNn3/preview
798,El diario de Raskolnikov - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Cuadernos de trabajo que muestran la evolución del protagonista y la trama de su obra maestra.,Novela,1866,https://drive.google.com/file/d/1e4zt2qcKR3rRyox44vXWQhoOK-2MzLfl/preview
799,El doble (dos versiones_ 1846 y 1866) - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Un funcionario ve cómo un hombre idéntico a él usurpa gradualmente su vida social y profesional.,Novela corta,1846,https://drive.google.com/file/d/1NGG3D4sAdpRpXFGgnnAn3q8lfPpGLmG5/preview
800,El doble - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Exploración psicológica sobre la dualidad y la esquizofrenia en la burocracia de San Petersburgo.,Novela corta,1846,https://drive.google.com/file/d/1RSMtk0AbN_tEUC4NVwgKhB0wYBFvrCdL/preview
801,El eterno marido - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Un hombre se enfrenta al amante de su difunta esposa en un duelo psicológico sobre la paternidad y la traición.,Novela corta,1870,https://drive.google.com/file/d/1FIskMH6Z9msGcx7vepmOqlVg-e5i9fDK/preview
802,El senor Projarchin - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Relato sobre la miseria y la avaricia de un modesto funcionario que oculta una pequeña fortuna bajo su colchón.,Cuento,1846,https://drive.google.com/file/d/1yB4IiQ_vukJTzj3PR9Sa9zOmgHs8py8f/preview
803,El sueno del principe - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Sátira social sobre las ambiciones de una madre que intenta casar a su hija con un príncipe anciano y decrépito.,Novela corta,1859,https://drive.google.com/file/d/1ch6QQ3F44h22n9X3CKxZM3ME4B3mQfdA/preview
804,El triton - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Relato fantástico y humorístico sobre un hombre que es tragado por un cocodrilo y decide vivir dentro de él.,Cuento,1865,https://drive.google.com/file/d/1Nzy-usyc3yIOUmYwnqQqU9yLwuIGUv9t/preview
805,Humillados y ofendidos (trad. F. Otero) - Fiodor Dostoyevski,"Dostoyevski, Fiódor","Drama sobre el sacrificio, el perdón y las injusticias sufridas por dos familias unidas por el infortunio.",Novela,1861,https://drive.google.com/file/d/1TDln8K61L6yPJ-ULJk1Fhsm2_gnqlV-6/preview
806,Humillados y ofendidos - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Retrato de la nobleza de espíritu frente a la crueldad social en la San Petersburgo del siglo XIX.,Novela,1861,https://drive.google.com/file/d/1sEu0l7DzmV0wDJAXH5-ygqHFWdrmax_Y/preview
807,La mansa - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Un prestamista analiza las razones del suicidio de su joven esposa en un monólogo cargado de culpa y desesperación.,Cuento,1876,https://drive.google.com/file/d/1Tv0kVfsCh5P3XEKeuc1kAbRKxeN57IQK/preview
808,La patrona - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Un joven estudiante se obsesiona con una mujer misteriosa que vive bajo el control de un anciano sombrío.,Novela corta,1847,https://drive.google.com/file/d/1TDow10IeHyIoFWMpW6lJ2HQPHDvXG-1l/preview
809,Los demonios (trad. Fernando Otero) - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Análisis profético sobre el nihilismo y los movimientos revolucionarios destructivos en la Rusia del siglo XIX.,Novela,1872,https://drive.google.com/file/d/1UCfcW-SI1NO4oYi7xi7UZtQWJ8Adl-qj/preview
810,Los demonios - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Tragedia política que explora la posesión ideológica y las consecuencias morales de la violencia revolucionaria.,Novela,1872,https://drive.google.com/file/d/12h6omynxGJIHe6aQ0nD190hESlh9ws_6/preview
811,Memorias de la casa muerta (trad. G. Gabal - Fiodor Dostoyevski,"Dostoyevski, Fiódor","Relato basado en la experiencia del autor en una prisión siberiana, explorando la humanidad en el encierro.",Novela,1862,https://drive.google.com/file/d/1tiKX_RWpYaFikcymT4Vy474nzrO6T3PU/preview
812,Memorias de la casa muerta - Fiodor Dostoyevski,"Dostoyevski, Fiódor","Crónica cruda sobre la vida, el sufrimiento y la redención de los condenados en el presidio.",Novela,1862,https://drive.google.com/file/d/1jLDsHCCZ-XYg5rsPcXwFtoByMjir0TyZ/preview
813,Nietochka Nezvanova - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Novela de formación interrumpida que narra la infancia traumática de una niña marcada por el alcoholismo de su padrastro.,Novela,1849,https://drive.google.com/file/d/1v8-ysjwrKZIpjQO0rnR0RWYzp93uiWGm/preview
814,Noches blancas (Ilustrado) - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Un soñador solitario encuentra la esperanza y el amor fugaz durante cuatro noches mágicas en San Petersburgo.,Novela corta,1848,https://drive.google.com/file/d/1rqOy_sud0_id0IkxKrtNBrAXh75YDYa1/preview
815,Pobre gente - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Novela epistolar que retrata la relación platónica y los sacrificios de dos personas que viven en la miseria absoluta.,Novela,1846,https://drive.google.com/file/d/19ruP9REyfSDVxW3QpLQKM8qMaeE7s016/preview
816,Stepanchikovo y sus moradores - Fiodor Dostoyevski,"Dostoyevski, Fiódor",Comedia satírica centrada en un manipulador que domina la voluntad de los habitantes de una hacienda rural.,Novela,1859,https://drive.google.com/file/d/1WzC95nTOjMVXzzOIHU4MnJIxBEx_R4pf/preview
817,Una grieta en la creacion - Jennifer A. Doudna,"Doudna, Jennifer",La descubridora de CRISPR explica el origen de esta tecnología genética y los dilemas éticos de editar la vida.,Divulgación científica,2017,https://drive.google.com/file/d/1_K0y0Ks-gwoGwzu1zFnWg5Sg42D2qEOp/preview
818,El_tulipan_negro-Dumas_Alexandre,"Dumas, Alexandre",Aventura histórica sobre la obsesión de cultivar un tulipán negro en medio de intrigas políticas en la Holanda del XVII.,Novela,1850,https://drive.google.com/file/d/1ryFbAhA19RymPAMO20wCr19K7LYNPpG3/preview
819,Alberto Savarus - Honore de Balzac,"de Balzac, Honoré",Un abogado ambicioso oculta su pasado mientras busca el éxito político y el amor de una aristócrata.,Novela,1842,https://drive.google.com/file/d/1BMjXJqzGhQ8O6hfDVxhuj_W6_AeSpsL8/preview
820,Alberto Savarus y otras historias - Honore de Balzac,"de Balzac, Honoré",Colección de relatos que diseccionan las ambiciones sociales y los secretos familiares de la burguesía francesa.,Cuento/Novela,1842,https://drive.google.com/file/d/1tDbgBQ9EBmf6l8gIUZHDv1FR2lIK1eqh/preview
821,Beatriz - Honore de Balzac,"de Balzac, Honoré",Crónica de la pasión destructiva de un joven por una mujer sofisticada en el entorno de la aristocracia bretona.,Novela,1839,https://drive.google.com/file/d/1HamzpfJxypDHxb7VoO4vGOpqy9fGplmq/preview
822,Cuentos completos de La Comedia Humana - Honore de Balzac,"de Balzac, Honoré",Recopilación de la narrativa breve que complementa el vasto fresco social de la sociedad francesa decimonónica.,Cuento,1845,https://drive.google.com/file/d/1GQ6HgYF8Y0ZhRpOKFb0l18YuiYPn7GEX/preview
823,Cuentos filosoficos - Honore de Balzac,"de Balzac, Honoré","Relatos que exploran temas metafísicos, la voluntad y la búsqueda de lo absoluto en el ser humano.",Cuento,1831,https://drive.google.com/file/d/1ECkWoNJbZXYU0FNwtgn2SHss1hp8RxuG/preview
824,El Centenario - Honore de Balzac,"de Balzac, Honoré",Novela temprana de terror y misterio sobre un anciano que busca prolongar su vida mediante métodos oscuros.,Novela,1822,https://drive.google.com/file/d/1lqcKBhP8qZEjeB81I-c-zMJApb-GaeHm/preview
825,El arte de pagar sus deudas sin gastar un - Honore de Balzac,"de Balzac, Honoré",Manual satírico que ofrece consejos ingeniosos y cínicos para navegar por la insolvencia en la alta sociedad.,Ensayo/Sátira,1827,https://drive.google.com/file/d/1Y7SoO2G9D0h3JegQoYQBJCRHrf2vyADi/preview
826,El coronel Chabert (trad. Mercedes Lopez-B - Honore de Balzac,"de Balzac, Honoré",Un oficial dado por muerto en la guerra regresa para reclamar su identidad y propiedades robadas.,Novela corta,1832,https://drive.google.com/file/d/17PBUvon7qgRICaKl6fHU3CwnHx2cc1Ae/preview
827,El coronel Chabert - Honore de Balzac,"de Balzac, Honoré",Tragedia de un héroe napoleónico que enfrenta la ingratitud y la codicia de una sociedad que lo ha olvidado.,Novela corta,1832,https://drive.google.com/file/d/14_WpeTB-NS4MUPdNAnaJWN5miGD-guyb/preview
828,El coronel Chabert y otras historias - Honore de Balzac,"de Balzac, Honoré",Antología que reúne casos de injusticia social y drama psicológico en la Francia de la Restauración.,Cuento/Novela,1832,https://drive.google.com/file/d/1ldOZdkaXFSQOlpQvn_QUGK2UpZNPN24A/preview
829,El cura de Tours - Honore de Balzac,"de Balzac, Honoré",Relato sobre las mezquinas intrigas eclesiásticas y sociales que destruyen la tranquilidad de un clérigo ingenuo.,Novela corta,1832,https://drive.google.com/file/d/1rh9mrjeKI5wBLpXErzXnVemh_G7oMGor/preview
830,El diputado de Arcis & Z. Marcas - Honore de Balzac,"de Balzac, Honoré",Dos historias que exploran la corrupción política y las dificultades de los jóvenes con talento en el gobierno.,Novela,1847,https://drive.google.com/file/d/1K_7Ez0gvKA7dibYJw1O_qgl_797BIro1/preview
831,El hijo maldito y otras historias - Honore de Balzac,"de Balzac, Honoré","Narraciones marcadas por el conflicto familiar, la herencia y las pasiones prohibidas en la Comedia Humana.",Cuento,1831,https://drive.google.com/file/d/1zBqMO9L6k8onju_Bod6aQ3pIGMOwQb8h/preview
832,El lirio en el valle & La piel de chagren - Honore de Balzac,"de Balzac, Honoré",Drama sobre el amor platónico frente a una fábula fantástica sobre los deseos y la mortalidad.,Novela,1836,https://drive.google.com/file/d/1TonH83hkVtLgvZKty_3UXo_Cfk8aCOan/preview
833,El medico rural & El cura de aldea - Honore de Balzac,"de Balzac, Honoré",Dos obras que presentan figuras de autoridad moral intentando mejorar la vida material y espiritual del pueblo.,Novela,1833,https://drive.google.com/file/d/1Ir7I5Lban7pK3wTyEtN6lhdc4PXnhb4D/preview
834,El pobre Goriot - Honore de Balzac,"de Balzac, Honoré","Un anciano se arruina para satisfacer los caprichos de sus hijas, mientras el joven Rastignac descubre la ambición.",Novela,1835,https://drive.google.com/file/d/1g3--EjVyzo58m1TguGoh5V3q9fDb-hpV/preview
835,El primo Pons - Honore de Balzac,"de Balzac, Honoré",Historia de un músico pobre y coleccionista acechado por parientes codiciosos que desean su valiosa herencia artística.,Novela,1847,https://drive.google.com/file/d/1JuNxncYgJ6kmJ_oortcPLjqeRXJbUwR8/preview
836,El reverso de la historia contemporanea y - Honore de Balzac,"de Balzac, Honoré",Relato sobre una sociedad secreta dedicada a la caridad y la redención en medio del caos social.,Novela,1848,https://drive.google.com/file/d/1_XDqRBRZoutWoFyBqNlo6ZF59Q8Mndri/preview
837,Esplendores y miserias de las cortesanas ( - Honore de Balzac,"de Balzac, Honoré",Saga criminal y social sobre el ascenso y caída de un joven ambicioso y una prostituta de lujo.,Novela,1838,https://drive.google.com/file/d/1F0ih1aYjDRDWcxTSZ-3f42spgv54DnWS/preview
838,Esplendores y miserias de las cortesanas - Honore de Balzac,"de Balzac, Honoré","Misterios, chantajes y el poder del dinero en los bajos fondos y salones de París.",Novela,1838,https://drive.google.com/file/d/1Qo8EXRtWAp_7Ta_RrEZybu3NGg-NXQWe/preview
839,Eugenia Grandet (trad. Mauro Armino) - Honore de Balzac,"de Balzac, Honoré",La vida de una joven marcada por la avaricia extrema de su padre y un amor no correspondido.,Novela,1833,https://drive.google.com/file/d/1OjbBLAzuN28q9yzOXQEMWy49BWoc54zh/preview
840,Eugenia Grandet - Honore de Balzac,"de Balzac, Honoré",Clásico realista que disecciona la opresión familiar y el poder corruptor del oro en provincias.,Novela,1833,https://drive.google.com/file/d/1RaMjzsir2sM4CWG00KOW6hoK0Jw2koA9/preview
